,标题,作者,漫画分类,风格类型,保存格式,封面,内容简介,是否完结
0,奥林匹斯,DC Comics,欧美漫画,神鬼,JPG,http://images.dmzj.com/webpic/7/aolinbasi.jpg,"一行海上冒险者误闯入奥林匹斯岛,独眼巨人、牛头人等希腊神话故事的神兽相续出现,他们该怎么应付,怎样离开这座死亡之岛……",已完结
1,变形金刚：英雄记,IDW/James Raiz,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/8/tf2.jpg,"1984年美国推出大型系列动画片16集《变形金刚》。这部动画片按照美国人对科幻理念的理解和对将来世界的揭示方式，并借助高科技制作技术，让机器人首次成为和人类一样的智能种族。其宏大非凡的创意,神奇合理的想象,开创了动画片历史的一个经典时代。这种彻底的、纯粹的美国版式《变形金刚》在美国100多家电视频道播出后引起了极大轰动，很快就蜚声国际动画市场",已完结
2,变形金刚：大黄蜂,IDW,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/4/tfdhf.jpg,[IDW漫画]变形金刚:大黄蜂(Bumblebee)(《威震天万岁》系列后续，与《变形金刚系列》互为补充):,已完结
3,变形金刚真人电影II：堕落者传奇,IDW,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/10/tf2.jpg,变形金刚真人电影II：堕落者传奇,已完结
4,蝙蝠侠_化身博士,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/18/蝙蝠侠_化身博士_第01卷_0001_324a8732d325d60935d2fc36cf354182.jpg,蝙蝠侠_化身博士,已完结
5,蝙蝠侠与超胆侠-纽约之王,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/5/bfxycdxniuyuezhiwangV2.jpg,,已完结
6,蝙蝠侠-黑白世界,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/14/cc_7b297edc4cc60ebf287fb2a1295d6e9d.jpg,蝙蝠侠黑白世界,已完结
7,蝙蝠侠-地狱男孩-星辰侠,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/6/bsxdynhxcxV2.jpg,蝙蝠侠-地狱男孩-星辰侠,已完结
8,蝙蝠侠：罪恶之战,DC Comics/Alex Ross/Paul Dini,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/7/batman_war_on_crime_p00_c95c36530ac2cc38a1f781db8f8ef038.jpg,Paul Dini与Alex Ross两大美漫名家联手打造经典单篇. JLS正义联萌汉化最终版(修改了一些内页翻译的错误)正式登陆,已完结
9,蝙蝠侠在巴塞罗那,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/1/蝙蝠侠在巴塞罗那_全一卷_0001_2ef894a041bbb48e5e47345fbd21f724.jpg,蝙蝠侠在巴塞罗那,已完结
10,蝙蝠侠_自我,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/8/00_5bce2ab8c83b0e236135a4e4de1feddc.jpg,Batman:Ego,已完结
11,蝙蝠侠-阿克汉疯人院(电玩版),DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/13/bfxakhfryV2.jpg,蝙蝠侠-阿克汉疯人院(电玩版),已完结
12,蝙蝠侠-似曾相识,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/2/bfxscxsV2.jpg,蝙蝠侠-似曾相识,已完结
13,蝙蝠侠与超人_最佳搭档,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/2/bfxycrzjpd.jpg,蝙蝠侠与超人_最佳搭档,已完结
14,围城2010,Marvel Comics,欧美漫画,"格斗,科幻",JPG,http://images.dmzj.com/webpic/18/wc.jpg,"在关于<Siege>事件的采访中,主编Michael Bendis说:<Siege>会改变整个Marvel世界,以后Marvel再出版任何漫画都会就此改变.此事件是自从<Secret War(非Secret Invasion)>以来,最大的一个大结局.是近10年来都没有写出过的大事件.而其中重点的支线按重要性排名分别是:雷神,队长复活,铁人.
采访记者问,除了Norman和Loki,这事件里还有没有其他敌人.主编只说,这事件跟Norman肯定有关系,跟Loki也肯定有关系.
采访记者问,还有没有什么其他的黑马角色需要注意.主编说,Secret Warriors是个看点,Maria Hill是个看点,但最主要的还是复仇者的铁三角.
采访记者问,哪些角色在此事件中会身陷艰难处境.主编说,黑暗复仇者在其中将会经受最大的考验.而且,并不是他们所有人都会在此事件中生还下来.",已完结
15,金刚狼-以杀代劳,Marvel Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/2/jglysdlV2.jpg,金刚狼-以杀代劳,已完结
16,超人与蝙蝠侠v1,DC Comics,欧美漫画,"格斗,科幻",JPG,http://images.dmzj.com/webpic/19/000001_6570f5a8_86265695f4577411775315b1d596659f.jpg,"超人和蝙蝠侠是漫画史上资格最老的两个超级英雄,也是合作时间最长的搭档。",已完结
17,X战警-弥赛亚再临,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/2/xzhanjingmisaiya.jpg,弥赛亚三部曲的终章，前两部为《弥赛亚情结》、《弥赛亚战争》，第二部已汉化。建议先行阅读《弥赛亚战争》与《锁链V2》后再观看本部作品,已完结
18,龙与地下城-巨龙的阴影,佚名,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/15/000001_5ea95c90_a20eb8d878d65e497065ae57d196d2e0.jpg,"这部漫画讲述的是七位勇者为了从巨龙阴影下拯救国家，而踏上冒险的旅途。每个人都有独特的性格，有正气凛然英勇无畏的圣骑士，有发誓为老师复仇的法师学徒，有使用双剑负责保护男主角的女剑士，还有刚从监狱里释放的赏金猎人。剧情非常不错。主人公也非常酷。有一位的穿着很像《钢之炼金术士》里的爱德华! 
 
",已完结
19,小丑疯人院-毒藤女,DC Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/14/xiaochoufengrenyu.jpg,小丑疯人院-毒藤女,已完结
20,少年泰坦Go!,DC Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/9/shaoniantaiyanchuji01.jpg,“少年泰坦”与鼎鼎大名的“蝙蝠侠”和“超人”一样，都属于华纳子公司DC Comics。“少年泰坦”的首次露面是1964年，人们由此见到了一支由拥有不同神通的小英雄们组成的正义团队。他们包括罗宾、小闪电侠、水侠 和 极速侠到了1980年，小英雄们打出了“新少年泰坦””的旗号，队伍因此而壮大，增加了生化人、星火 、乌鸦等人物。,已完结
21,小丑疯人院-双面人,DC Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/8/xcfrysmrV2.jpg,小丑疯人院-双面人,已完结
22,M皇室,Marvel Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/2/mshijiazu20100618.jpg,"House of M,马格纳斯之殿",已完结
23,至黑之夜,DC Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/7/zhiheizhiyefengmianl.jpg,至黑之夜是09年开始的DC漫画世界大事件。续最终危机之后，超级英雄们要面对的是死者的复活。黑手（威廉·汉德）拿到疤脸给他的黑灯戒指，疤脸原本应该是个守护者，现在成为黑灯的代言人。复活了已死的黑手作为黑灯的第一个灯兽。 黑灯大举进攻宇宙即是至黑之夜。,已完结
24,God of War,sony,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/6/gow.jpg,"游戏以斯巴达人奎托斯（Kratos）为描述视角，被称为「斯巴达之魂」的他拥有无可匹敌的战争才能和本能的战斗力，由刚开始率领着数十人的队伍发展到了一个拥有上千人的军队实力，但是在一次对抗某个野蛮部落时，他的军队遭到了前所未有的惨败。陷入极度绝望的奎托斯把自己的生命献给当时的战神阿瑞斯，并为他服务。作为交换条件，阿瑞斯赐予了奎托斯强大的力量，并给于了他“混沌之刃”，帮助他摧毁了那只原先击败了他的军队的野蛮部落。
　　此后奎托斯对阿瑞斯唯命是从，一次任务中奎托斯进入了某个村庄，虐杀成性的他屠杀了所有村民，但当他清醒过来时才发现，他所屠杀的村民中包括了他的爱妻和爱女。村巫将其妻女的骨灰附刻到奎托斯的皮肤上，这也是后来奎托斯皮肤苍白的原因。而后奎托斯才得知这是战神阿瑞斯给他开出的条件，为了将奎托斯塑造成一个完全只听命令的杀戮机器，他必须断绝他的过去和任何与人类有关的事物。由此他放弃了为阿瑞斯服务，为了赎罪和摆脱弑妻杀女的梦魇，他决定向奥林匹斯诸神做十年的奴役。 
　　漫长的征战与杀戮、美酒与女人都无法让奎托斯摆脱过去的恶梦。在希腊爱琴海消灭了海怪许德拉之后，为奥林匹斯诸神服务了十年的奎托斯去质问雅典娜，雅典娜告诉他要想完全摆脱这一切需要再为众神服务一次，而这次的任务就是去击败正在摧毁雅典城的战神阿瑞斯。当想起阿瑞斯是自己妻女之死的始作俑者时，奎托斯欣然接受了这个任务。来到雅典城，奎托斯看到了正在四处破坏如同巨人般的战神阿瑞斯。从神庙先知处得知了潘多拉魔盒强大魔力的消息后，奎托斯下定了战胜阿瑞斯的决心。通过失魂沙漠来到了压在泰坦巨人Cronus（克洛诺斯）身上的潘多拉神殿。奎托斯经过重重考验终于找到了潘多拉魔盒，此时的阿瑞斯也得知了这一消息，并抢先一步杀死了奎托斯，拿走了潘多拉魔盒。奎托斯从地狱一路杀回雅典城，誓与阿瑞斯决一死战。潘多拉魔盒的力量让奎托斯变得与战神阿瑞斯一样巨大而强壮，最终奎托斯战胜了阿瑞斯。把这个战神彻底杀死了后奎托斯还是无法摆脱恶梦，以为诸神放弃了自己的奎托斯从雅典最高的山峰上跳入大海中。在雅典娜的指引下奎托斯不但没死反而成为了新一代的战神，坐上了奥林匹斯的神座。",已完结
25,正义联盟正义的呐喊,DC Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/5/zhengyi.jpg,"　美国正义联盟，美国DC漫画公司的超级英雄团队，曾一度改名为Justice League International国际正义联盟，不过后来又改回来了。总部设在月球观望塔Watchtower，运作资金由韦恩Wayne集团秘密提供。关于JLA的创立，请见Justice League动画第1-3集""Secret Origins”｛市面上有DVD出售｝，但是由于DC公司作者太多，时间一长难免会出现无法自圆其说的现象｛DC漫画看多了您就知道了……｝，所以也有一种说法是JLA由Martian Manhunter｛火星猎人｝创立。无论哪一种说法，Martian Manhunter都是JLA中不可缺少的一员。一种说法是：超人是JLA的灵魂、蝙蝠侠是JLA的大脑、Martian Manhunter是JLA的心脏。",已完结
26,公主与傻瓜,Cinzia Di Felice,欧美漫画,其他,JPG,http://images.dmzj.com/webpic/6/001_e1beae3b0239dc2847555b91739fcd3b.jpg,选自《Heavy Metal》的精彩短篇故事，作者是Cinzia Di Felice.,已完结
27,星球大战：旧共和国武士,Dark Horse Comics,欧美漫画,"冒险,格斗",JPG,http://images.dmzj.com/webpic/8/knights31-001_b678f8162a9a23a313d216c90cc10b6f.jpg,他来自塔瑞斯星球的赞恩卡瑞克原本是一个笨手笨脚的绝地学徒，和他的同学们比起来，他没有高超的原力、没有精湛的剑术、没有聪明的心机，他是同学们中最落后的一个，更是让师父们取笑…,已完结
28,特种部队VS变形金刚第一部,IDW,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/9/tezhongbuduivsbianxingjingang.jpg,"眼镜蛇部队席卷全球,被卷入了国际恐怖活动中的变形金刚该何去何从?",已完结
29,至黑之夜-超人,DC Comics/Geoff Johns,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/14/zhiheizhiychaoren.jpg,"绿灯誓言： In brightest day, in blackest night, No evil shall escap…",已完结
30,至黑之夜-绿灯侠,Geoff Johns/DC Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/8/gl_45_01a_543b3c804e7fb6cf92dba1664e684799.jpg,至黑之夜-绿灯侠  至黑之夜系列的之一,已完结
31,新复仇者-光照会,Marvel Comics/吉姆•张,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/19/0001_0f0ecc9d7cd3011e9ea8dff6463600fd.jpg,光照会（Illuminati）是一个由世界上几个最强悍有力的英雄所组成的秘密组织，包括了至尊巫师史蒂芬·文森特·施特伦格、黑螺栓、野蛮国王、查尔斯·弗朗西斯·希夫纳（X教授）、基因突变的X战警的创始人、神奇四侠之一的瑞德·理查德、神奇四侠的创始人、疯狂古怪的“水人”、亚特兰蒂斯的国王、“铁人”安东尼·斯塔克、复仇会的创始成员。这六个人已为了时间的一个未指定的量一起工作在它周围制造超人的世界与正义展开决战。,已完结
32,复仇者起源,Marvel Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/9/fuchouzhe.jpg,"复仇者起源：Marvel公司的作品，讲述复仇者的成立源头，涉及到 绿巨人钢铁侠等大家熟知的人物。
如果想了复仇者战队的朋友不容错过。",已完结
33,披风争夺战,DC Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/10/pifeng.jpg,DC漫画系列2009年主要事件之一，讲述的是：蝙蝠侠布鲁斯.韦恩被确认死亡之后，高谭市治安严重失控，黑帮势力猖獗，双面人企鹅人相互之间大打出手。众罗宾在打击罪恶的同时为决定由谁来继承蝙蝠侠衣钵而展开一系列争斗。,已完结
34,变形金刚：铁皮,IDW,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/16/bianxingjingangtiepi.jpg,最年长，最坚强，同时又是久经战火磨练的汽车人铁皮数千年来一直是擎天柱的挚友和保镖。然而，就在最近，正当铁皮一如既往地竭尽全力去保护他的朋友的时候，他却被人类特工用塞伯坦科技武器杀害了。不过，现如今，在他的故乡，沉寂了数年的塞伯坦星球上，某些东西正在蠢蠢欲动……感谢塞联汉化组的辛苦汉化，为广大变形金刚谜提供如此优秀的欧美漫画！,已完结
35,战争机器WarMachine,Marvel Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/17/zhanzhengjiqiwarmachine.jpg,詹姆斯“洛迪”罗兹成为了一名海军飞行员，是托尼·史塔克最好的朋友，并且是仅有的几个能穿上钢铁侠盔甲的英雄之一。但实际上，钢铁侠是个超级英雄，而洛迪是个士兵。因此，当一些被世界遗忘的受害者需要一种只有士兵能提供的帮助时，洛迪会披上属于他自己的盔甲，并展现一整只军队所具有的力量和责任。现在洛迪从一个隐秘的卫星基地密切注视着那些被世界遗忘的受害者们，配备着非史塔克科技的未知装备，这让他前所未有的强大，以及危险。,已完结
36,爱玛·弗洛斯特 高等教育,Marvel Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/15/emmashang.jpg,"这本漫画是关于爱玛早前（未加入地狱火俱乐部之前）的生活经历。
第一部《高等教育》描述她初次发现自己的变种能力——心灵感应，对自己老师的爱慕，与自己家人的矛盾，直至最后放弃庞大的家族产业继承权，离家寻找属于自己的路。（已完结）",已完结
37,爱玛·弗洛斯特 思维游戏,Marvel Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/6/emmaxia.jpg,《思维游戏》描述爱玛离家后，却毫无生活经验，穷困潦倒被房东赶出公寓。随后她发现了自己的新变种能力，并试图用此免费吃饭，结果被识破，只有以洗碟子偿还。在厨房里她遇到了乔伊，并很快成为好友。但随后发现乔伊身欠当地黑帮一万美元高利贷，两人都被打手威胁。但乔伊想到了个法子……,已完结
38,太空堡垒-爱与战争,Wildstorm,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/14/000001_7797e25a_0e36cabb529ca4fe142b2376a9380585.jpg,"2031 年,第二次宇宙大战结束了,然而新的威胁又接踵而至。戴娜.斯特林中校，原南十字军阿尔法战术装甲第15小队中尉，率领着15小队成员准备离开地球，去浩瀚的宇宙寻找父母与卡特上将的远征军。望着伤痕斑斑的地球，戴娜不由地想起了第一次宇宙大战开始时父亲麦克斯的经历........ 　　WS的漫画以精美著称,而由TOMMY YUNE(尹泰善)编剧的太空堡垒漫画紧紧地联系着85集动画,与动画遥相呼应.《爱与战争》是WS的第二套RT新系列漫画，描写了麦克斯和 本 是如何在爱与战争的洗礼中从普通人成长为太空堡垒战士以及两人深厚的友谊.",已完结
39,正义联盟与正义会善与恶,DC Comics,欧美漫画,"冒险,格斗",JPG,http://images.dmzj.com/webpic/10/000001_7013be5f_0e99f64e37c09703003e84613b5e144b.jpg,美国正义联盟，美国DC漫画公司的超级英雄团队，曾一度改名为Justice League International国际正义联盟，不过后来又改回来了。总部设在月球观望塔Watchtower，运作资金由韦恩Wayne集团秘密提供。关于 JLA的创立，请见Justice League动画第1-3集“Secret Origins”（市面上有DVD出售），但是由于DC公司作者太多，时间一长难免会出现无法自圆其说的现象（DC漫画看多了您就知道了……），所以也有一种说法是JLA由Martian Manhunter创立。无论哪一种说法，Martian Manhunter都是JLA中不可缺少的一员。,已完结
40,黑暗之塔-枪侠诞生,斯蒂芬·金,欧美漫画,"冒险,科幻,魔法",JPG,http://images.dmzj.com/webpic/6/000001_5a393f86_ce96b1c2ad117d9476340e80c2964bb9.jpg,"《黑暗之塔》系列共有七卷，包括了《枪侠》（The Dark Tower:The Gunslinger Born，1982）、《三张牌》（The Dark Tower:The Drawing of the Three，1987）、《荒原》（The Dark Tower:The Waste Lands，1991）、《巫师与玻璃球》（The Dark Tower:Wizard & Glass，1997）、《卡拉之狼》（The Dark Tower:Wolves of The Calla，2003）、《苏珊娜之歌》（The Dark Tower:Song of Susannah，2004）和《黑暗之塔》（The Dark Tower，2005）。
漫画《黑暗塔—枪侠诞生》是根据小说的第一卷《枪侠》与第四卷《巫师与玻璃球》中关于主人公罗兰在十四岁时少年经历的描述改编的。虽然漫画副标题叫做“枪侠诞生”，但其中的主要故事线索却都围绕着第四卷《巫师与玻璃球》中的故事情节展开。",已完结
41,神奇女侠海克提亚誓约,DC Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/7/000001_5eca3d30_fa996048c2c849fb330886940eaaf895.jpg,"可能大家对这个角色并不熟悉，实际上她的名气也是相当大。神奇女侠形象首次出现于1941年，与超人、蝙蝠侠并称DC三大巨头，同时，他们三人也是正义联盟的主要领导人员。神奇女侠是一位亚马逊族公主，从泥土中诞生，同时也被赐于神的力量。她实际上是奥林匹斯山众神决定派出保护地球的使者，也叫戴安娜女神。
　　超能力：力大能飞，反应灵敏，精通所有徒手与冷兵器格斗术，护腕可抵挡和反弹子弹，真言套索可以无限延长、不可挣脱、不会断裂，并可以令人说真话，还原所有真实。另外还有全套盔甲和武器。
　　评价：应该是整个超级英雄世界里最强的女性了…… ",已完结
42,巨龙传奇,Marvel Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/8/000001_3eaff235_e3b2948bc1e0a04dd3ecd590e24e1820.jpg,一个被人类探索者在5000年前定位的遥远星球。你将遇见佩兴斯，她是奥鲁克王手下的奴隶和最忠诚顾问的女儿。她也是一个技艺高超的外交官和刺客，那些当失去父亲以后她更加依赖的技巧。由爱漫画搜集自网络～爱漫画，让你爱上漫画！毕竟，佩兴斯才是正统的王位继承人，而人类文明正笼罩着毁灭的预言，来自这个星球觉醒的原住居民……叫做巨龙的生物。,已完结
43,天国降临,DC Comics/Alex Ross,欧美漫画,"冒险,格斗,科幻",JPG,http://images.dmzj.com/webpic/9/000001_7db2f1bc_821f4d16c0a2d5e1a66ef8466f014112.jpg,这是一个关于神的故事。这些神曾经为我们所熟悉，曾是我们的保护者；但他们却又高高在上，有着难以想象的力量，同时相互也有尖锐的矛盾。当天使吹起末世的号角，诸神彼此展开大战，这时，人们将要面对的，又是怎样的命运？ ,已完结
44,超人：红色之子,DC Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/14/000001_145bb60b_afbb70bea886d058454c52f1609ff6b6.jpg,他比高速飞行的子弹还要快，比火车头还要有力量，一跃便能够越过高楼大厦。他穿着紧身衣和披风，以拯救世人为天职，他是最伟大的超级英雄。他，信仰共产主义。 这部漫画共分三部，故事时间跨度逾40年，讲述从斯大林时期到20世纪末的架空历史——超人降落在苏联，为共产主义而战。在他的铁腕之下，当超人刚刚接掌权力的时候，苏联只是一个脆弱的联合体。二十年之后，全世界都是我们的盟友。只有美国和智利选择保持独立。铁腕统治下的美丽乌托邦和一个由自己选择的不完美的世界你的选择又是什么？,已完结
45,热血红星,Ariel Books,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/4/000001_98bf04bd_0a48581c2dd5bb904ae4a2d622a4d75b.jpg,"传奇人物，也和人类以及人类赖以生息的土地一样，周而复始地起起落落。无论是英雄人物还是救世主，斗士还是文豪，都会被永恒的时间所遗忘，英雄碑会被推倒重建，讲故事的人也会讲述新的英雄事迹。
但是，赤星达，这位额头上有着深红色命运印记的英雄的故事，却永不会被遗忘。因为他是人类在钻木取火时代的第一位英雄，他是从茫茫众生中涌现出的第一位英雄，也是人类在新时代站起来对抗黑暗的第一位英雄。
这里讲述的就是他的故事，由一位即将逝去的友人讲述的故老相传的故事。是赤星达与恐怖的北方荒原之王搏斗的故事。一个世敌变成了挚友，一个朋友却成为了可耻的叛徒的故事。一个打破世俗和偏见的故事，一个复仇和命运，失败和成功，悲伤和快乐交织在一起的故事。一个永不磨灭的故事。
翻开这本书，请仔细倾听这位手刃恶魔的英雄 - 赤星达的故事。
读完这本书，请记住这位孤傲地屹立在人类第二个黎明到来时的勇士。",已完结
46,伞学院,Dark Horse Comics,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/14/000001_8bf74052_1230e4b61c37f9dbbcafa88948f1365f.jpg,简短的说这部漫画的中心就是“外星人领导异人类拯救地球”，这么说来倒挺像Hellboy和BPRD组织的套路。,已完结
47,恶魔,Torajiro.kishi,欧美漫画,"科幻,魔法",JPG,http://images.dmzj.com/webpic/15/devil.jpg,一种病毒正在全球肆虐，将正常人转变为称之为“恶魔”的嗜血魔人。大多数感染者在数天内死去，有的则是数月，但随之而来出现了新的种群，一大班威胁着要用力量和嗜血本能来取代人类的恶魔种群。 这群新的恶魔的诞生源于一次克隆病毒感染者的实验，看来这次科学创造出了一个实实在在的怪物。泷本和隶属东京警力的恶魔调查组能否阻止这场社会浩劫呢？,已完结
48,Wall-E,PIXAR/Disney,欧美漫画,科幻,JPG,http://images.dmzj.com/webpic/17/walle.jpg,"　　“WALL-E”是Waste Allocation Load Lifters - Earth（地球废品分装员）的缩写，这种职业出现在2700年，因为地球的垃圾多到爆炸，整个星球几乎被垃圾掩埋了，罪魁祸首-人类-只得移居到太空船上，并且请一家叫Buynlarge公司清除地球的垃圾，待万物更新时再飞回地球安居。Buynlarge公司把这种叫WALL-E的机器人大批送往地球捡垃圾，但WALL-E并不适合地球的环境，大批量地来也大批量地坏，最后只剩下一个机器人还在日复一日的按照程序收拾废品。就这么过了几百年，仅存的WALL-E还在垃圾堆里淘到不少人造宝贝，它也开始有了自我意识，懂得什么是孤独。

　　然而，一艘突然而至的宇宙飞船打破了这里的平静，它还带来了专职搜索任务的机器人伊芙，当WALL·E经历了几百年的孤独，终于见到了另一个机器人时，他觉得自己好像爱上她了……伊芙在经过了精确的计算之后，数据显示出，看起来漫不经心的WALL·E很可能是关乎着地球未来的关键所在，她通过宇宙飞船将自己的发现报告给人类，收到了将WALL·E带离地球的指令－－人类正想尽办法重回地球，所以他们不会放弃任何可能的机会。于是，WALL·E追随着伊芙，展开了一次穿越整个银河系、最令人兴奋、也是最具有想象力的奇幻旅程。
",已完结
49,绿灯侠_重生,DC Comics,欧美漫画,"格斗,科幻",JPG,http://images.dmzj.com/webpic/9/000001_c7d9ead7_ad9c0fbfe6dfa0a3de3fa5e0815a3fdc.jpg,绿灯战队是宇宙中一群负责治安和巡逻的超级英雄。他们所装备的戒指拥有一种类似魔法的能量。传统的戒指需要每隔一定时间补充一次能量。所以每个绿灯侠都配备一盏充满绿色能量的金属灯，通过这盏灯向戒指“充电”，这也是绿灯侠名字的由来。绿灯侠借由戒指佩戴者的想象力和意志力决定戒指所发挥出的能量的外形和强度。就是说，他们可以凭借自己的意愿自由运用戒指的能量，形成各种实体或实现各种目的。 ,已完结
50,问号神探,DC Comics,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/19/The-Question-37_00.jpg,"值得一提的是凯特的恋人里可不全都是无名之辈，其中还包括鼎鼎大名的重案组探员芮妮.蒙托亚。
你问她是谁？说出来吓死你！她就是从1990年代开始就给蝙蝠侠跑龙套的路人甲！
好吧，前两年人家终于媳妇熬成婆野鸡变凤凰，接手了问号神探的身份，也跻身于超级英雄行列啦。
所以，处于对这对恋人的特殊照顾，DC此次在蝙蝠姐的连载中特地搭上了情侣档双线连载的《问号神探》漫画，跑了一辈子龙套的芮妮姐姐也算是尝到了当主角的快乐啦——虽然还只是捎在别人的连载里头。",已完结
51,蝙蝠侠700期纪念刊,DC Comics,欧美漫画,格斗,JPG,http://images.dmzj.com/webpic/18/bianfuxia700jinian.jpg,如标题，本作为《蝙蝠侠》这本刊物的第700回，从1939年诞生，历经大半个世纪依旧长盛不衰，蝙蝠侠这个形象早已深入读者心中，这篇故事就是描绘布鲁斯韦恩之后的历任蝙蝠侠（当然，仅限于Morrison版，达米安的未来还是未知数吧）的故事……,已完结
52,父与子,埃-奥-卜劳恩,欧美漫画,"欢乐向,四格",JPG,http://images.dmzj.com/webpic/0/fuyuzi.jpg,"德国漫画大师埃-奥-卜劳恩的传世名作，1934年12月在战争中德国，一部反映普通民众父子间生活、情感的漫画在《柏林画报》上连载，漫画充满了人性的温情和幽默，把普通民众的生活通过父子间的表露刻画的如此纯真。漫溢着暖暖的人情味。这就是《父与子》。一幅幅小巧精湛的画面闪烁着智慧之光，无言地流泻出纯真的赤子之情与融融天伦之乐，永远地震撼着人们的心灵。画中的“父”与“子”的形象实际上是画家自己与儿子的真实写照。1934年12月当《父与子》最初与读者见面时，画家天真无邪的儿子才只有3岁。联邦德国《斯卡拉》杂志曾发表过一幅卜劳恩伏在地上给儿子当马骑的照片，并解释道：卜劳恩和儿子克里斯蒂安在一起这样无忧无虑的日子尽管很短暂，而连环漫画《父与子》的素材多来源于此。”这一幅幅小巧精湛的画面闪烁着智慧之光，无言地流泻出纯真的赤子之情与融融的天伦之乐，其艺术魅力征服过无数读者的心。
",已完结
53,伞学院2_达拉斯,Dark Horse Comics,欧美漫画,"冒险,科幻",JPG,http://images.dmzj.com/webpic/4/sxy2.jpg,简短的说这部漫画的中心就是“外星人领导异人类拯救地球”，这么说来倒挺像Hellboy和BPRD组织的套路。 ,已完结
54,丁丁历险记,埃尔热,欧美漫画,冒险,JPG,http://images.dmzj.com/webpic/16/03_8f00501a284a9eaa7063cf34c00e55a9.jpg,"1929年1月10日，一个脚蹬花格儿灯笼裤，手牵小白狗，梳着“一撮毛”的年轻记者“丁丁”出现在一本比利时杂志上。现在丁丁已经75岁了！！
　　他冒险的足迹几乎遍布全球，从埃及的尼罗河到中国的西藏，到南美洲的印第安部落，他甚至比美国人更早登上月球，经历了这么多故事之后，他还是我们所熟悉的正义的化身。从著名的《蓝莲花》开始，丁丁不再是一个给西方人展示奇观的导游，而成为一个有友情、有痛苦、有勇气，智慧、正义的形象。
　　丁丁的非凡号召力不仅来源于它流畅的线条、可爱的形象。 
　　精彩的故事、浪漫的背景、角色之间的关系和幽默的情节都是丁丁成功的秘决。 
丁丁是一名记者，在漫长艰辛的旅游采访中经历种种奇遇。早在1926年，年轻的比利时作家埃尔热创作了连环漫画集《冒失鬼巡逻队长托托尔》，其中的主人公长大后就自称“丁丁”。作为一名记者，丁丁却从不记录人们告诉他的东西，相反，他总是自己去调查。并且不惧怕任何人和任何势力，因此他成为了和平和正义的象征。丁丁从来都是坐不住的，从他每一次的探险中我们可以看出这一点。在非洲，在美洲，甚至在中国上海、西藏，都留下了丁丁的脚印。他还是在月球上探险的第一人。虽然丁丁经常旅游，但是他很少记录什么，有时虽然带了相机，但是我们从来没有看到过他采访报道或是旅游见闻（唯一一次是在《丁丁在苏联》，但有幸读到此书的人很少）。丁丁靠的是正义、机智、勇敢和善良。丁丁给五大洲的人们（不仅仅是少年儿童，还有青年和成年人）送去无尽的快乐，征服了无数人的心……",已完结
